Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-114.9449	62.335384	-31.503683	-427.93735	135.78	35.272533	243.0	72.0	-0.020641094	0.017567487	0.036108	-0.1539622	51200	2.1351966e-08	15540.084	-0.0005449168	-12155.9	1.8739828	-2.4228138e-05	0.0023567537	79.0	-64.74994	73.45666	61.296925	217.5215072631836
1	-108.77573	60.288185	-24.959795	-424.7518	143.91	46.546127	314.0	73.0	-111.79105	2.9091609	-68.26002	-128.33897	102400	-1.9085414e-08	3265.2764	-0.0007946748	-325.24512	1.7830098	0.0005843784	0.0039608087	79.0	-61.9367	71.992065	56.06765	443.2468099594116
2	-109.85984	52.134785	-31.328316	-270.93027	143.53	39.20037	295.0	80.0	-103.80832	15.001472	-85.38209	-194.35397	153600	8.504864e-09	2679.0046	-0.00054760906	-51.3667	1.8947177	-0.00012668682	0.00034835923	79.0	-60.75936	67.79717	59.30926	666.7389254570007
3	-111.97452	49.6835	-37.106197	-301.3327	142.69	43.128807	270.0	68.0	-108.33464	13.286255	-94.793045	-205.33447	204800	4.2774655e-09	2092.3552	-0.0016704573	-18.219727	1.9647137	0.0011572739	0.021375008	79.0	-66.32187	72.4703	53.76767	892.3256750106812
4	-104.75879	48.646782	-25.288828	-233.33717	154.59	43.502663	315.0	88.0	-106.89461	12.280129	-97.38292	-213.74014	256000	3.9481955e-09	2131.0918	-0.0010470358	-80.18457	1.7512877	0.0005973966	0.0047868555	79.0	-54.26537	67.995285	64.81479	1131.320097208023
5	-110.99706	52.6001	-29.27124	-301.6628	142.21	36.255287	314.0	72.0	-101.811905	16.316336	-89.01031	-224.8879	307200	-5.364879e-09	2703.1038	-0.0015036425	-85.16211	1.9340198	0.0021271359	0.007875677	79.0	-58.409073	76.36095	62.51964	1354.0550787448883
6	-101.38547	43.53124	-24.771112	-228.02711	149.08	34.713306	245.0	88.0	-110.01805	13.062229	-100.32966	-199.3067	358400	-1.0235303e-09	1948.3906	-0.0025740713	-150.75928	1.9413052	0.0012143942	0.015897505	79.0	-53.01845	71.64063	58.95125	1585.072636604309
7	-119.96677	63.530178	-27.670689	-384.3337	143.27	32.728535	226.0	77.0	-100.11674	11.828541	-93.02569	-210.404	409600	-4.260149e-09	3761.144	-0.0023593665	-435.71924	2.043139	0.0020164638	0.019194528	79.0	-69.88087	78.358406	60.097813	1810.853149652481
8	-107.250656	54.611526	-28.723928	-277.64954	156.75	36.135128	237.0	78.0	-115.20063	17.18345	-105.855865	-279.74512	460800	1.8495502e-08	2688.3992	-0.0015574273	-150.88354	1.9181125	0.00083495834	0.0072727273	79.0	-55.529728	76.36383	60.962414	2052.483787536621
9	-108.83433	55.362854	-38.178802	-294.53165	150.37	39.624146	311.0	70.0	-105.20939	17.09667	-93.49639	-258.79376	512000	2.029499e-09	2597.1396	-0.0021230169	-15.102295	2.0476103	0.0022401286	0.017556693	79.0	-59.96976	73.65435	55.891808	2287.976666212082
10	-107.05703	57.37607	-33.706116	-337.04202	166.27	39.545128	293.0	84.0	-104.90647	13.900716	-92.21785	-309.1992	563200	3.670846e-09	2913.338	-0.0024374565	-58.647705	1.9331759	0.001968718	0.014975642	79.0	-56.905293	76.4766	60.112778	2546.093625307083
11	-100.74705	50.407703	-35.789005	-336.92847	160.19	38.644974	278.0	74.0	-104.77617	18.375195	-87.864235	-325.91467	614400	3.8101728e-08	2365.8767	-0.0020933356	-80.61157	2.02349	0.001279123	0.01648043	79.0	-50.805943	75.15061	58.593105	2795.657023668289
12	-104.65747	58.969574	-21.670856	-380.78992	164.41	37.88142	280.0	95.0	-98.612526	14.607727	-87.97534	-298.63922	665600	7.4247497e-09	3282.718	-0.002532172	-66.09375	1.9997474	0.0014750407	0.014354358	79.0	-52.041054	76.20234	64.51079	3048.5006289482117
13	-93.67183	45.21576	-26.959463	-258.27188	169.07	44.77505	307.0	90.0	-102.95857	16.040115	-88.86567	-254.55945	716800	-5.4150786e-09	2057.6409	-0.0020330173	-164.92139	1.9192497	0.0014811262	0.013012362	79.0	-46.357773	69.30219	54.16769	3308.8710181713104
14	-100.94427	48.435585	-36.10577	-267.81042	169.18	42.68873	297.0	99.0	-92.293015	19.050188	-76.058174	-220.70836	768000	-6.313484e-09	2151.9963	-0.0030690937	-80.95386	1.9570076	0.002879056	0.023998108	79.0	-51.905365	77.354645	57.82341	3567.7451479434967
15	-91.29695	41.053032	-30.433336	-293.94238	179.78	39.22336	298.0	119.0	-98.41169	11.748025	-85.85167	-262.8413	819200	1.0609348e-08	1652.8319	-0.0023614734	-64.934814	1.9506706	0.0011690789	0.011347203	79.0	-43.349678	74.54238	57.906506	3844.302980661392
16	-100.36941	47.979973	-33.002735	-315.35565	172.76	43.449306	327.0	98.0	-92.08817	10.879895	-83.39921	-231.91528	870400	-1.7223106e-08	2083.16	-0.0019374338	-86.462036	1.9761451	0.0019871239	0.012734429	79.0	-49.105732	76.43802	62.56279	4111.200439453125
17	-93.02123	42.998676	-21.594511	-260.7054	171.39	37.940716	276.0	100.0	-98.87744	15.273579	-85.79773	-292.1559	921600	2.1367113e-08	1773.2382	-0.002486199	-78.10388	1.9163022	0.0018188764	0.014586615	79.0	-43.936844	73.3251	56.033764	4377.167650461197
18	-88.887146	48.339176	-19.643366	-246.92447	178.4	45.10654	324.0	109.0	-91.77212	9.724284	-82.577194	-188.235	972800	2.3948772e-08	1947.5702	-0.0029085819	-108.25781	1.9296783	0.0010035195	0.011939462	79.0	-40.31888	69.381966	59.04451	4648.10672211647
19	-89.44005	47.63501	-19.163237	-247.24435	180.57	40.8882	284.0	106.0	-88.20139	19.479834	-71.736	-241.09315	1024000	3.126628e-08	2128.481	-0.0026408632	-47.323242	1.8911874	0.0015862647	0.01794318	79.0	-41.838486	75.57211	54.646637	4924.095138549805
20	-85.9483	40.88629	-20.893913	-246.31113	180.63	41.08665	326.0	88.0	-89.47391	12.228057	-73.490906	-243.53438	1075200	1.3516062e-08	1486.5807	-0.0026734972	-23.992676	1.9745915	0.00038869315	0.01577811	79.0	-38.049843	73.20066	57.840546	5203.29132437706
21	-88.5774	54.549786	-18.834976	-338.30496	179.15	37.281464	295.0	103.0	-86.72392	16.671885	-74.0261	-267.06656	1126400	3.4069303e-09	2441.5354	-0.0032022574	-73.108154	1.920327	0.0024060556	0.027630478	79.0	-34.75913	80.83392	61.622383	5480.020952939987
22	-86.20788	45.240208	-22.523766	-252.37056	181.04	42.124794	320.0	112.0	-88.11349	21.948822	-70.1369	-277.45148	1177600	-6.742726e-09	1930.7029	-0.0037977085	-61.697754	1.9123571	0.00095342315	0.025353514	79.0	-38.32663	73.31464	56.665516	5756.338186502457
23	-81.55741	37.997456	-20.16047	-202.46185	185.89	39.461853	314.0	112.0	-85.36902	12.560902	-73.69889	-220.37859	1228800	1.3133607e-08	1444.4164	-0.0033587	-38.84497	1.9151195	0.0020248457	0.020495992	79.0	-31.38345	73.094284	59.647724	6040.586179971695
24	-79.95523	37.58611	-26.171673	-199.19879	178.6	39.75148	335.0	112.0	-82.388466	11.416862	-70.60518	-191.8562	1280000	3.417422e-09	1240.3812	-0.0024431492	-21.42981	1.8762965	0.0016319666	0.013269877	79.0	-34.044315	71.905556	56.476288	6315.099569559097
25	-85.228584	40.417442	-21.375797	-202.27867	180.03	36.1523	295.0	97.0	-80.25814	12.57255	-68.36533	-213.6	1331200	-4.0683325e-08	1609.5544	-0.00305685	-48.757446	1.9489627	0.0024171672	0.022385158	79.0	-39.613934	74.52643	53.805267	6594.4300084114075
26	-81.04359	47.360825	-23.8068	-286.86334	186.65	40.62127	310.0	90.0	-85.235695	9.579709	-75.77132	-231.56044	1382400	-3.106531e-08	2180.4216	-0.0023966895	-42.593994	1.9006865	0.002579853	0.0132333245	79.0	-32.221493	73.510185	58.404266	6878.628156900406
27	-74.5722	37.132713	-19.569517	-180.329	188.67	39.580315	290.0	85.0	-83.01853	11.802721	-68.80416	-195.19534	1433600	-1.2940087e-08	1298.2935	-0.0028272795	-104.45752	1.8740747	0.0026945805	0.022102082	79.0	-23.644567	72.036476	58.507923	7168.031011581421
28	-79.20415	35.99238	-25.345013	-194.99776	187.67	39.15688	300.0	117.0	-74.99027	14.624658	-60.32147	-173.51083	1484800	-8.130649e-09	1225.4144	-0.0033044892	-46.53943	1.903608	0.0030863413	0.03319657	79.0	-28.878054	77.08347	62.29144	7456.004215478897
29	-83.28769	41.99143	-29.703857	-277.713	195.71	44.72858	333.0	116.0	-78.83314	11.952537	-60.326656	-200.8978	1536000	3.118653e-09	1599.2517	-0.0032173146	-62.728027	1.865939	0.0032490094	0.028511573	79.0	-31.59744	71.65249	63.702267	7755.8888573646545
30	-83.44154	39.667164	-36.548523	-236.92818	189.61	38.77161	308.0	114.0	-84.050446	14.140658	-65.88711	-259.85043	1587200	2.8970856e-08	1368.3302	-0.0025540337	-36.46643	1.8495196	0.0021193232	0.021676073	79.0	-30.957952	74.97842	62.895485	8044.802215576172
31	-82.10043	44.43635	-22.661726	-251.04828	188.15	37.602226	326.0	113.0	-83.20368	12.780338	-72.00509	-221.99892	1638400	-1.6219813e-09	1802.339	-0.0034460055	-27.582642	1.9307964	0.0018930024	0.025830455	79.0	-35.725014	76.02414	55.746464	8334.287807703018
32	-75.4647	38.77608	-31.605577	-301.57886	187.93	35.39612	294.0	91.0	-82.55125	12.48672	-67.21896	-251.54303	1689600	-1.0555221e-08	1382.9104	-0.0031935177	-68.31543	1.9027169	0.0042365924	0.036981855	79.0	-27.125217	68.34975	55.426003	8622.512868642807
33	-78.06091	37.26065	-22.551935	-205.77278	191.19	40.917404	299.0	104.0	-76.04967	10.874694	-62.46695	-208.52997	1740800	-6.3847647e-09	1323.7372	-0.0032174792	-29.059204	1.7783737	0.0026295292	0.017992573	79.0	-29.141087	74.49728	58.31135	8915.692302942276
34	-78.37437	41.614796	-23.877703	-229.81532	201.78	43.53104	322.0	109.0	-79.80467	10.422366	-65.83571	-169.84215	1792000	-3.629804e-08	1517.872	-0.0027277796	-37.49951	1.8171849	0.0026295455	0.027852116	79.0	-29.241377	76.62593	55.43425	9223.539335012436
35	-75.8521	40.401604	-20.049757	-224.42416	192.92	41.935352	309.0	101.0	-77.86023	13.169188	-59.41481	-205.38864	1843200	2.9264731e-08	1496.1624	-0.0031133902	-27.099121	1.8084332	0.0024336712	0.017831225	79.0	-30.709946	66.8551	51.91338	9518.411809206009
36	-75.16399	36.508293	-21.569904	-238.45178	200.76	38.191395	338.0	121.0	-77.16009	13.640843	-57.36149	-237.9506	1894400	-9.120615e-09	1167.8225	-0.0040972377	-40.43457	1.811245	0.0025401663	0.029238893	79.0	-30.808918	68.71901	56.161045	9826.456079006195
37	-81.68674	40.445168	-22.505129	-228.58907	199.35	41.692535	309.0	123.0	-76.14774	14.247546	-49.57551	-200.9144	1945600	1.2246834e-08	1487.9227	-0.0031559723	-73.71777	1.8172717	0.0025531035	0.024880864	79.0	-26.654846	82.29786	62.20338	10132.886655569077
38	-77.31943	40.068954	-22.870441	-202.35352	208.76	42.8451	350.0	121.0	-81.822655	15.197737	-61.783463	-217.7166	1996800	-2.5582374e-08	1448.3702	-0.0032986987	-33.049316	1.7344985	0.0020415022	0.027831001	79.0	-25.68416	75.25838	60.582153	10448.944572210312
39	-80.06581	40.008152	-17.264744	-262.32794	208.65	41.957687	319.0	130.0	-79.55856	16.31166	-54.542667	-230.7179	2048000	8.775723e-09	1595.8962	-0.0038145971	-61.789185	1.8451624	0.0040892637	0.046153847	79.0	-32.423645	69.54338	54.8851	10767.711842298508
