Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-109.05595	58.12258	-35.655968	-320.50052	133.74	43.041054	298.0	73.0	0.23609662	0.040931437	0.5179284	0.030917259	51200	3.422788e-08	13320.255	-0.00056281814	-10277.557	1.8119166	8.695883e-05	0.0	79.0	-62.83236	66.90616	54.152256	191.03538131713867
1	-134.88739	74.36615	-24.097118	-509.8879	138.31	45.886314	292.0	74.0	-100.26727	4.1311994	-55.40441	-105.9403	102400	-1.1032311e-08	5830.8535	-0.0011987863	-1169.0537	1.8780448	0.0010452683	0.0075193406	79.0	-82.18203	78.45249	65.99451	386.00379729270935
2	-116.22048	61.00703	-34.459938	-354.12766	139.8	39.45732	299.0	83.0	-127.170296	10.322484	-94.62488	-210.19978	153600	1.3097673e-08	3914.4026	-0.00038871492	-299.10938	1.8240284	0.00019125325	0.0013590844	79.0	-69.095505	73.43655	56.178394	580.8331379890442
3	-116.2769	49.69709	-34.297455	-291.16287	138.07	40.071747	329.0	68.0	-112.86244	16.053358	-89.422035	-229.9797	204800	1.1051488e-08	2163.5088	-0.00045773937	-37.266357	1.8748628	0.0003502028	0.0	79.0	-65.88725	68.37163	60.946075	774.1617789268494
4	-115.68268	66.94589	-26.448717	-388.223	139.2	39.744686	280.0	73.0	-110.84066	11.959403	-87.9604	-222.88522	256000	3.5077676e-08	3624.2263	-0.0010064662	-143.55908	1.8649642	0.0016243669	0.0066810343	79.0	-64.12059	72.36132	61.429806	968.7940294742584
5	-109.42138	50.57529	-33.38333	-256.07443	143.05	38.39046	279.0	80.0	-107.62907	21.658669	-90.5708	-227.07019	307200	1.36001095e-08	2396.342	-0.0016454641	-94.33862	1.8570486	0.0021739514	0.021670744	79.0	-60.451218	68.753914	59.386246	1167.2794842720032
6	-112.983154	58.644306	-19.735168	-333.8588	146.62	37.632374	299.0	75.0	-106.002556	12.256557	-93.74615	-250.25862	358400	-4.1628123e-09	3446.958	-0.0017314594	-53.18994	1.9871391	0.0014002074	0.010707952	79.0	-57.57575	76.72296	70.87138	1370.4038434028625
7	-107.48173	51.671566	-34.497486	-305.14975	148.99	39.835537	293.0	74.0	-110.88342	15.172454	-99.40517	-259.50284	409600	5.7608354e-09	2647.3257	-0.0021104875	-41.345215	1.9023862	0.0016656145	0.013960669	79.0	-54.446457	75.58201	62.594883	1576.1729035377502
8	-103.86606	55.383747	-32.51337	-306.42554	149.52	31.812412	246.0	91.0	-105.37855	15.4194565	-95.19305	-281.71442	460800	-2.0410365e-09	2493.7395	-0.0017126051	-42.291016	1.957971	0.00034431813	0.008226324	79.0	-52.548172	76.20193	60.317085	1783.6091041564941
9	-102.88561	51.734806	-33.89232	-254.9081	156.05	34.162373	294.0	80.0	-100.39138	16.387842	-90.51962	-254.98665	512000	2.7378794e-08	2319.587	-0.0018270613	-11.172363	1.9913745	0.001236789	0.012175585	79.0	-53.33592	77.19278	56.57585	1998.2267844676971
10	-95.88752	47.49645	-28.025095	-319.61133	161.94	34.094227	291.0	78.0	-102.06367	16.009398	-90.21746	-352.22452	563200	3.768998e-09	2222.4622	-0.0022074995	-53.580322	2.0539966	0.00046013395	0.0097567	79.0	-49.40885	70.17037	52.426674	2220.3335404396057
11	-100.672745	48.804703	-25.287462	-229.49487	162.52	37.776573	276.0	89.0	-96.29364	13.602075	-86.02333	-240.88551	614400	2.8166605e-09	2328.9846	-0.001948683	-63.39209	1.996399	0.00135386	0.016367216	79.0	-48.68922	76.1618	61.045807	2443.3203036785126
12	-93.31132	47.012093	-30.77999	-254.0681	163.87	37.40579	284.0	97.0	-102.01597	13.8323145	-89.35783	-249.54979	665600	0.0	2058.6238	-0.0014798166	-101.934204	2.0293198	0.0007103523	0.0050039664	79.0	-43.256847	74.614174	61.804287	2668.018300294876
13	-105.57081	52.785774	-25.207468	-276.34598	170.79	41.689636	327.0	105.0	-93.21078	17.855247	-77.48513	-326.57556	716800	5.360544e-09	2696.0442	-0.0023756395	-164.2251	2.0162797	0.0011955863	0.013759588	79.0	-51.909874	81.64626	64.227005	2903.1566886901855
14	-101.14107	58.995934	-28.032951	-356.1609	171.73	40.474648	310.0	98.0	-105.488594	17.63522	-87.370895	-285.19052	768000	3.1987213e-08	2997.8623	-0.0015069265	-36.64502	2.0525217	0.0018228143	0.008909334	79.0	-51.801735	75.36964	58.832115	3136.9733805656433
