Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-2040.8136	1510.7749	-3.3907983	-6956.2866	256.0	0.0	256.0	256.0	0.054404378	0.029656658	0.2226376	-0.10148686	25600	-1.9073486e-08	6447600.0	-0.00055419625	-4026929.5	2.7177222	0.0016524489	0.0146484375	79.0	-1566.9587	570.2414	627.739	135.41284322738647
1	-2172.4517	1577.4669	-99.76703	-7136.772	256.0	0.0	256.0	256.0	-2356.972	90.198135	-1823.2278	-2442.8318	51200	-1.9073486e-08	2560159.0	-0.0006434488	-560729.9	2.8418012	0.0010404112	0.0006640625	79.0	-1766.2394	554.9465	563.77356	272.2450575828552
2	-2054.0605	1688.7042	-18.1864	-6151.8193	256.0	0.0	256.0	256.0	-2202.6426	443.18246	-1797.7433	-3350.005	76800	2.3841857e-09	2194615.8	-0.001438322	-352719.12	2.7106879	0.0030357486	0.020546876	79.0	-1637.3667	500.97336	516.2374	406.7321150302887
3	-1670.3341	1460.0736	-15.80821	-7910.069	256.0	0.0	256.0	256.0	-1897.8756	847.0895	-1164.5874	-4364.314	102400	-5.662441e-09	1475691.9	-0.0017068541	-133565.5	2.519682	0.0034748537	0.029335938	79.0	-1229.7108	518.9367	575.99274	536.5785670280457
4	-1765.6406	1305.6168	-2.6517043	-4791.4346	256.0	0.0	256.0	256.0	-1738.3894	864.95905	-991.0162	-4182.281	128000	-5.3644182e-09	1159736.8	-0.0015732688	-29815.375	2.6166167	0.0024452708	0.012382813	79.0	-1399.942	488.346	529.52905	665.4116785526276
5	-1346.2338	1158.6234	-2.3636272	-5007.9355	256.0	0.0	256.0	256.0	-1648.0352	687.6873	-1079.198	-4053.1807	153600	-2.3841857e-09	946368.56	-0.0015908504	-95397.5	2.415525	0.0013388048	0.015195313	79.0	-964.6262	474.0904	482.26315	794.2921977043152
6	-1663.981	1197.0988	-5.1620383	-4650.237	256.0	0.0	256.0	256.0	-1503.6417	766.4106	-783.25574	-3833.5828	179200	-1.66893e-08	944663.25	-0.001067232	-49578.688	2.7530866	0.0011721872	0.007890625	79.0	-1212.4836	589.9904	588.0814	927.8192901611328
7	-1448.2876	1091.8203	-12.949642	-4541.18	256.0	0.0	256.0	256.0	-1601.2725	703.70447	-867.5872	-3710.377	204800	-5.9604646e-09	791223.25	-0.0021225344	-33858.938	2.651572	0.0016659811	0.01328125	79.0	-1025.2054	557.09186	534.4077	1060.907761335373
8	-1489.4714	1170.8932	-13.009939	-5156.382	256.0	0.0	256.0	256.0	-1430.1232	648.291	-810.5618	-3579.1238	230400	-2.8610229e-08	894916.94	-0.002461195	-12280.4375	2.5796142	0.0036705167	0.030039063	79.0	-1005.40204	548.23755	637.2451	1190.8107135295868
9	-1208.3617	969.66486	-22.655392	-3889.2058	256.0	0.0	256.0	256.0	-1415.195	623.22516	-845.49554	-4000.0896	256000	-9.536743e-09	633350.6	-0.0015558922	-48760.125	2.6563568	0.002023419	0.011367188	79.0	-770.28656	619.6312	602.44653	1319.1369986534119
10	-1201.4109	929.16547	-4.9135737	-4916.495	256.0	0.0	256.0	256.0	-1212.0771	571.6473	-698.3439	-3838.1238	281600	-8.940697e-09	555551.94	-0.001727603	-13733.625	2.5363162	0.0033863008	0.018945312	79.0	-798.0044	552.6185	538.11847	1450.353732585907
11	-956.09607	753.46344	-12.795241	-3435.9058	256.0	0.0	256.0	256.0	-1111.9034	455.95828	-611.4248	-4124.249	307200	1.4305114e-08	376468.3	-0.0023919402	-35943.594	2.379268	0.001952032	0.014257813	79.0	-509.36743	542.76855	575.20667	1575.6746046543121
12	-916.084	779.282	-12.637378	-4414.9297	256.0	0.0	256.0	256.0	-942.9709	479.41495	-524.4684	-3327.2483	332800	7.152557e-09	365925.0	-0.001563822	-6029.4062	2.3547342	0.0011785226	0.00703125	79.0	-466.03308	555.9162	546.5441	1702.3547627925873
13	-819.22974	699.2872	-2.2617493	-3074.5579	256.0	0.0	256.0	256.0	-900.3111	503.9674	-522.7657	-3668.3796	358400	3.5762786e-09	288608.44	-0.001155603	-12275.469	2.2903113	0.0023268342	0.011289063	79.0	-441.63266	534.84717	504.064	1828.3372616767883
14	-870.9657	770.7835	-13.225148	-3833.751	256.0	0.0	256.0	256.0	-833.2994	472.0781	-453.1675	-3180.6252	384000	-1.5497207e-08	313393.47	-0.0017832911	-11688.844	2.2613478	0.0025816131	0.022382813	79.0	-450.04065	541.60266	584.4066	1954.1079695224762
15	-730.16907	603.51044	-12.888354	-3508.0886	256.0	0.0	256.0	256.0	-813.3921	458.95175	-422.59348	-3844.032	409600	-1.013279e-08	232961.7	-0.0019188107	-14594.641	2.2652776	0.0023234198	0.0146484375	79.0	-322.33148	496.49887	495.78854	2079.270478963852
16	-854.2193	677.9202	-40.4849	-3357.027	256.0	0.0	256.0	256.0	-803.4267	469.8842	-424.9396	-3365.7258	435200	5.9604646e-09	251533.2	-0.0010593283	-5242.75	2.3897736	0.0016833973	0.010078125	79.0	-320.59686	635.8209	681.83124	2207.6332845687866
17	-772.13745	702.68787	-2.400626	-3966.1365	256.0	0.0	256.0	256.0	-805.36053	413.9144	-439.8615	-3358.3235	460800	-1.1920929e-09	273828.97	-0.001443814	-7603.6875	2.2180521	0.0020384195	0.013671875	79.0	-287.38116	588.2174	626.66144	2331.3886907100677
18	-695.4973	530.1798	-31.454514	-2345.7222	256.0	0.0	256.0	256.0	-752.26636	404.29266	-304.28345	-3294.0747	486400	5.3644182e-09	164016.81	-0.0021505738	-9554.531	2.3195946	0.00264059	0.01640625	79.0	-320.245	496.57495	479.39072	2455.367017507553
19	-796.42755	611.2892	-28.151455	-3561.319	256.0	0.0	256.0	256.0	-741.62524	407.168	-399.3079	-2726.2178	512000	-2.3841857e-09	230148.05	-0.0020247628	-8967.453	2.348909	0.0025028286	0.01484375	79.0	-327.2617	607.28064	598.9766	2577.7838821411133
20	-698.1487	620.65985	-2.199866	-3221.4714	256.0	0.0	256.0	256.0	-755.15717	387.93585	-475.88022	-3257.3777	537600	0.0	216456.23	-0.0015799392	-7680.2188	2.2723086	0.0028044223	0.022226563	79.0	-282.8395	543.93646	569.85974	2704.6531245708466
21	-697.5567	701.2765	-18.900925	-3573.6013	256.0	0.0	256.0	256.0	-709.0634	418.68008	-408.75397	-3161.628	563200	0.0	251988.16	-0.0014826071	-8874.359	2.193876	0.0024216208	0.009804687	79.0	-288.02255	570.8064	648.8016	2830.214821577072
22	-596.80255	584.68677	-12.775456	-3201.047	256.0	0.0	256.0	256.0	-634.4513	443.36313	-350.65454	-3384.7795	588800	-1.1920929e-09	147425.45	-0.0015136659	-4630.4844	2.1021833	0.0017090596	0.013710937	79.0	-168.36671	556.0629	598.51605	2953.873053073883
23	-647.4328	492.49664	-16.579237	-3002.4993	256.0	0.0	256.0	256.0	-621.5924	396.17685	-296.61044	-3769.7554	614400	-9.536743e-09	157930.44	-0.0020340513	-10441.0	2.1698844	0.0021133993	0.021171875	79.0	-236.14992	526.19556	522.7731	3079.829249382019
24	-752.2795	687.0104	-2.3130336	-3221.3765	256.0	0.0	256.0	256.0	-713.98267	431.8501	-414.4353	-3194.8052	640000	-3.5762786e-09	222948.52	-0.0018084084	-14065.156	2.3160183	0.0028442708	0.015117187	79.0	-300.70767	676.70557	624.7417	3207.637027025223
25	-652.18195	539.2082	-12.820235	-2725.5627	256.0	0.0	256.0	256.0	-690.30896	421.3494	-404.48615	-3538.1592	665600	2.3841857e-09	185000.52	-0.0018888544	-9716.094	2.160513	0.0021775044	0.009726563	79.0	-213.7593	572.36053	627.45026	3332.906753540039
26	-647.42456	586.79785	-11.457257	-3331.489	256.0	0.0	256.0	256.0	-665.1526	365.80862	-423.07153	-2746.8472	691200	-2.3841857e-09	159540.22	-0.0019724965	-7666.3594	2.158409	0.0021710503	0.011914062	79.0	-157.09808	632.45605	616.82086	3459.2511327266693
27	-562.9612	459.7999	-13.522043	-2054.5874	256.0	0.0	256.0	256.0	-591.03534	318.18143	-358.47018	-3296.965	716800	-5.3644182e-09	136134.7	-0.0015230274	-5896.3594	2.0804904	0.00244093	0.010898437	79.0	-153.235	523.1202	549.6179	3583.176536798477
28	-564.3734	564.6242	-11.710249	-3318.48	256.0	0.0	256.0	256.0	-577.4945	332.292	-356.48706	-2556.1284	742400	1.4305114e-08	141910.44	-0.0013467085	-16112.836	2.0660686	0.0013130493	0.011445313	79.0	-117.600586	540.24963	603.822	3708.4150257110596
29	-554.12134	507.09003	-12.939871	-3187.2197	256.0	0.0	256.0	256.0	-556.211	405.98355	-242.95297	-3653.87	768000	8.940697e-09	136802.2	-0.0012610119	-5595.6406	2.0145981	0.0014329177	0.00703125	79.0	-134.87762	534.6663	542.27954	3832.7404446601868
30	-548.8578	411.91415	-2.3878255	-2181.978	256.0	0.0	256.0	256.0	-536.7139	274.09058	-343.4117	-2998.326	793600	-1.3113022e-08	107563.78	-0.0015673303	-2147.8047	2.0043952	0.00171561	0.011835937	79.0	-132.48322	514.40314	548.5518	3958.2308082580566
31	-554.6106	517.84106	-12.15	-2914.7676	256.0	0.0	256.0	256.0	-572.48315	327.177	-344.91287	-2982.4014	819200	-1.07288365e-08	130599.64	-0.0020923389	-4576.797	2.0808384	0.0016113335	0.018789062	79.0	-154.99048	517.86835	548.0539	4082.234449148178
