Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1002.8074	2765.3945	-1.0004466	-17162.768	256.0	0.0	256.0	256.0	-0.085511655	0.025960192	0.075491525	-0.16954364	25600	0.0	8652918.0	-0.0010671234	-999886.5	1.6378653	0.0019548528	0.017226562	79.0	-604.2646	580.03986	419.68643	222.67195296287537
1	-819.2997	2279.6292	-1.4259259	-14861.104	256.0	0.0	256.0	256.0	-1010.3691	27.955915	-734.3332	-1076.8649	51200	-1.7881394e-08	5233773.0	-0.0015732067	-1495853.8	1.6989456	0.0016822949	0.013632813	79.0	-422.70624	508.1222	461.81726	466.12679171562195
2	-507.9614	1182.1073	-1.4092538	-8237.651	256.0	0.0	256.0	256.0	-786.03827	977.1087	-255.4776	-5610.29	76800	-1.3411046e-09	1501097.9	-0.0019395796	-465589.38	1.6308838	0.0010025809	0.009101562	79.0	-267.33847	313.96506	283.7728	690.6822564601898
3	-1021.327	1989.7931	-1.1969821	-8605.436	256.0	0.0	256.0	256.0	-639.044	734.01843	-249.04533	-4455.2036	102400	-1.07288365e-08	3083099.0	-0.001419884	-1194166.4	1.7605647	0.0021281948	0.010859375	79.0	-548.2201	570.47845	519.70703	915.1954369544983
4	-830.66	2450.0024	-1.399762	-16930.83	256.0	0.0	256.0	256.0	-880.09644	1506.6378	-3.2454553	-14473.277	128000	-9.23872e-09	2615899.8	-0.001758321	-384752.0	1.5257831	0.0017115256	0.016132813	79.0	-526.5359	492.56763	327.8424	1133.8605244159698
5	-600.0281	1628.5549	-1.0046803	-14723.731	256.0	0.0	256.0	256.0	-662.20624	1417.5342	-19.42952	-15714.679	153600	1.1920929e-09	1012768.5	-0.0019933127	-162636.44	1.5684689	0.0027035507	0.03394531	79.0	-328.9304	364.11133	296.5182	1356.08376288414
6	-430.27795	888.4386	-1.4155111	-5943.445	256.0	0.0	256.0	256.0	-487.3798	853.7818	-26.501728	-11203.753	179200	-4.7683715e-09	418483.3	-0.0017647732	-85110.0	1.535133	0.0016549395	0.00703125	79.0	-202.63663	312.92093	236.69334	1583.990916967392
7	-483.27502	1116.4847	-1.0263366	-8828.091	256.0	0.0	256.0	256.0	-441.86407	831.13403	-67.93515	-9763.415	204800	-4.172325e-09	543631.25	-0.0019142443	-57090.625	1.4961631	0.0012866291	0.01265625	79.0	-225.61745	354.10422	281.2208	1812.1622874736786
8	-553.7854	1162.6337	-1.0046803	-7186.168	256.0	0.0	256.0	256.0	-521.0826	828.74194	-76.31542	-9860.201	230400	-8.940697e-09	648765.8	-0.002736017	-50007.875	1.5607734	0.002524302	0.0259375	79.0	-226.90695	377.27667	337.4799	2043.0818185806274
9	-627.0935	1523.4854	-1.1970642	-12139.375	256.0	0.0	256.0	256.0	-555.3092	968.5118	-67.08529	-10217.998	256000	-4.7683715e-09	1195747.5	-0.0021953895	-274548.25	1.5563557	0.0022282077	0.014570313	79.0	-213.3114	534.11743	428.84625	2272.3447964191437
