Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-170.92488	252.12376	-1.0	-1361.8323	256.0	0.0	256.0	256.0	-0.09067048	0.012895751	0.049553763	-0.14978288	25600	-2.3841857e-09	92751.41	-0.00044040201	-29013.395	1.0465002	0.0005936647	0.0026953125	79.0	-110.28065	99.257744	64.38704	270.4291338920593
1	-176.6884	243.4696	-1.0	-1146.9629	256.0	0.0	256.0	256.0	-166.08983	2.8405151	-113.23332	-189.1704	51200	2.3841858e-08	59321.73	-0.0009286857	-9483.199	1.0988147	0.00095662795	0.0056640627	79.0	-107.83563	100.75367	77.346634	534.2248635292053
2	-128.74527	214.0035	-1.0	-958.24945	256.0	0.0	256.0	256.0	-179.41057	95.81419	-131.2249	-690.05164	76800	-1.07288365e-08	40589.316	-0.0011968947	-6778.6953	1.0615873	0.0010305399	0.008085937	79.0	-80.00502	78.60971	50.624813	772.0951764583588
3	-156.69902	201.76524	-1.0	-826.9199	256.0	0.0	256.0	256.0	-135.74876	112.04147	-73.38278	-551.0099	102400	-1.37090685e-08	33411.125	-0.0019025777	-2978.838	1.0834144	0.0012053795	0.012929687	79.0	-83.1566	106.99996	82.462234	1010.6542661190033
4	-121.495895	159.11942	-1.0	-816.5324	256.0	0.0	256.0	256.0	-151.68755	97.23137	-36.756145	-493.22577	128000	-3.5762786e-09	20560.797	-0.001394999	-1784.5	1.0878676	0.0008971491	0.0059765624	79.0	-69.369675	81.42762	54.121548	1246.005209684372
5	-152.28598	182.74153	-1.0	-724.11017	256.0	0.0	256.0	256.0	-122.57524	80.24787	-35.71033	-404.15308	153600	4.7683715e-09	28719.365	-0.0012343973	-1815.6699	1.0382249	0.00067235396	0.005	79.0	-73.54653	111.58151	80.50782	1486.8293178081512
6	-124.09454	196.071	-1.0	-833.6496	256.0	0.0	256.0	256.0	-145.41714	74.64238	-32.752495	-409.2555	179200	5.9604646e-09	27801.38	-0.0019201625	-2656.5508	0.9426248	0.0014290996	0.009375	79.0	-67.55784	83.36189	64.73768	1728.3337297439575
7	-103.05347	138.8065	-1.0	-591.7537	256.0	0.0	256.0	256.0	-123.639694	111.25249	-7.031084	-575.9264	204800	0.0	17004.025	-0.0015881199	-2781.1182	0.9848243	0.00055968715	0.008554688	79.0	-46.1151	83.05673	59.30227	1973.6867208480835
8	-152.4234	204.8097	-1.0	-1013.6556	256.0	0.0	256.0	256.0	-112.00181	76.289246	-24.996342	-353.54193	230400	-1.7881394e-08	32453.902	-0.0022522437	-3853.3203	0.9935011	0.0013302009	0.010429688	79.0	-79.70566	103.58909	77.280624	2213.252312898636
9	-141.65157	211.3814	-1.0	-1153.9446	256.0	0.0	256.0	256.0	-151.57628	109.78217	-10.60592	-534.86285	256000	7.152557e-09	31174.936	-0.0019419593	-2593.7031	0.9956249	0.00078852655	0.007421875	79.0	-80.21759	87.417	68.27095	2449.5485961437225
10	-162.85124	195.45905	-1.0	-921.8709	256.0	0.0	256.0	256.0	-142.74866	121.054924	-8.707148	-700.32733	281600	-9.536743e-09	29491.77	-0.0017687988	-3156.002	1.1875668	0.0010796116	0.008476563	79.0	-84.45896	129.06165	83.30087	2728.4819672107697
11	-151.3847	204.81682	-1.0	-930.5644	256.0	0.0	256.0	256.0	-150.92064	106.119095	-22.300177	-579.35986	307200	8.34465e-09	28774.11	-0.0012324458	-2718.7441	0.98004484	0.00012725091	0.003203125	79.0	-89.38553	90.67031	68.65512	2973.0678532123566
12	-138.9523	217.81386	-1.0	-1107.0946	256.0	0.0	256.0	256.0	-150.74738	121.83706	10.353288	-808.0847	332800	1.07288365e-08	29798.68	-0.002338066	-4369.34	0.94530976	0.001280337	0.017148437	79.0	-86.62806	82.81107	62.27125	3211.0157890319824
13	-111.189865	193.09071	-1.0	-1134.2356	256.0	0.0	256.0	256.0	-132.79803	129.96721	0.44201374	-1061.8889	358400	-4.7683715e-09	24063.56	-0.0011090565	-3005.7988	0.965233	0.0006630955	0.0053125	79.0	-55.21333	74.37604	62.19604	3446.242422103882
14	-143.49696	202.95047	-1.0	-879.95026	256.0	0.0	256.0	256.0	-124.40824	135.34517	16.535233	-984.0517	384000	7.152557e-09	29084.404	-0.0021055257	-2487.586	1.1108185	0.0006938088	0.008046875	79.0	-87.995804	89.18801	61.07153	3684.3829662799835
15	-134.57103	206.25291	-1.0	-1035.5231	256.0	0.0	256.0	256.0	-132.49124	124.85071	-21.769503	-1027.2656	409600	-4.7683715e-09	25440.85	-0.0021702505	-1376.8867	0.89914095	0.0014061091	0.013359375	79.0	-68.64204	91.17099	74.551544	3925.052312850952
16	-135.53598	203.03926	-1.0	-1183.8854	256.0	0.0	256.0	256.0	-142.90651	127.21551	-5.7537136	-1039.8549	435200	-9.536743e-09	27636.162	-0.0018916833	-3535.8066	1.032633	0.0011305321	0.0072265626	79.0	-66.99072	109.26574	73.60801	4164.665301322937
17	-131.45479	171.70311	-1.0	-756.9373	256.0	0.0	256.0	256.0	-138.34544	128.49284	26.382338	-1467.6129	460800	-1.013279e-08	21519.244	-0.0019784928	-2955.7715	1.0294333	0.0008256203	0.00875	79.0	-56.690517	107.442215	81.75837	4394.51788687706
18	-113.229645	161.92268	-1.0	-839.1077	256.0	0.0	256.0	256.0	-124.12155	90.30033	-0.8257542	-637.58905	486400	1.4305114e-08	17710.219	-0.0021482508	-1510.9346	1.0204585	0.0004247427	0.008203125	79.0	-55.621178	87.65883	60.261253	4632.473860025406
19	-97.314735	160.5881	-1.0	-954.53015	256.0	0.0	256.0	256.0	-111.818016	113.081955	-2.3505461	-985.644	512000	-7.152557e-09	16588.375	-0.0025691222	-1722.6035	0.9044194	0.0009389184	0.011953125	79.0	-45.8502	66.17812	59.60833	4872.129713773727
20	-111.05375	153.2372	-1.0	-877.55853	256.0	0.0	256.0	256.0	-96.5293	98.20111	-14.846953	-982.45105	537600	-1.7285346e-08	16068.449	-0.0019967444	-1215.3896	0.9080174	0.0011172532	0.008554688	79.0	-52.349663	84.79397	62.832294	5133.689777374268
21	-126.65199	162.4383	-1.0	-773.15857	256.0	0.0	256.0	256.0	-126.006546	102.16052	-24.462736	-1016.06696	563200	5.9604646e-09	17858.984	-0.0023239567	-1810.6309	1.1262621	0.0008761173	0.011640625	79.0	-56.55341	105.09343	80.408134	5378.360798120499
22	-109.2634	147.1468	-1.0	-785.8372	256.0	0.0	256.0	256.0	-121.7735	87.41795	32.75276	-809.3518	588800	-5.9604646e-09	14548.395	-0.0030651866	-1224.4395	0.982338	0.0011690407	0.016679687	79.0	-46.463486	92.843445	66.449776	5621.415935277939
23	-123.052	166.6051	-1.0	-938.25867	256.0	0.0	256.0	256.0	-113.57135	98.55572	32.258476	-917.0676	614400	5.9604646e-09	18655.516	-0.0026008869	-1336.1836	1.0384941	0.0010515942	0.013632813	79.0	-53.196255	107.530525	74.433136	5867.090046167374
24	-101.581604	136.8249	-1.0	-532.8312	256.0	0.0	256.0	256.0	-113.516365	81.28217	13.927669	-1042.6444	640000	-1.7881393e-09	13500.299	-0.0024840313	-1408.4297	0.9243995	0.0007410832	0.016757812	79.0	-41.3585	96.6417	64.73447	6109.248672485352
25	-109.800804	132.31516	-1.0	-542.33	256.0	0.0	256.0	256.0	-113.19451	85.34655	-10.026774	-657.8738	665600	-1.07288365e-08	11389.862	-0.0021269596	-820.375	0.93106186	0.0015078282	0.0146875	79.0	-46.859615	99.88052	65.994095	6355.060413360596
26	-94.06707	122.330986	-1.0	-726.8015	256.0	0.0	256.0	256.0	-98.50746	74.61821	19.727787	-550.7476	691200	1.1920929e-09	9918.831	-0.0023810612	-572.17773	0.9845961	0.0007457489	0.011523438	79.0	-35.811256	86.53225	62.29634	6598.451372861862
27	-86.74931	124.9661	-1.0	-744.09186	256.0	0.0	256.0	256.0	-94.6694	75.24331	12.865359	-796.672	716800	0.0	10307.665	-0.0022742944	-834.9717	0.8525194	0.0010703759	0.013671875	79.0	-35.062244	80.02025	54.82886	6843.602428674698
28	-93.93053	141.72237	-1.0	-803.7671	256.0	0.0	256.0	256.0	-87.04807	78.20679	12.441943	-771.5123	742400	9.536743e-09	12394.067	-0.0023882985	-1187.6875	0.8554627	0.0012244995	0.013046875	79.0	-47.0874	73.20986	49.22272	7071.543647766113
29	-103.85861	142.2787	-1.0	-776.80493	256.0	0.0	256.0	256.0	-98.47603	102.10993	32.715153	-773.7864	768000	-4.7683715e-09	13234.268	-0.0025329746	-1284.4453	0.9227796	0.00086743844	0.016914062	79.0	-37.003983	100.95456	75.25063	7314.181654691696
30	-79.355644	122.87348	-1.0	-761.41327	256.0	0.0	256.0	256.0	-95.284134	84.93862	14.177075	-1027.0632	793600	-5.3644182e-09	9770.881	-0.0026214635	-619.9238	0.8515613	0.00089052523	0.012617188	79.0	-35.225357	67.30102	48.14216	7588.595618009567
31	-116.510315	189.66708	-1.0	-1000.21106	256.0	0.0	256.0	256.0	-87.52578	83.39631	15.17152	-869.0249	819200	-9.536743e-09	23257.586	-0.0023315335	-3771.0938	0.8349733	0.0011107211	0.011210937	79.0	-44.4932	105.69232	78.87186	7825.766497135162
