Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1726.558	926.88385	-318.06375	-4544.25	256.0	0.0	256.0	256.0	0.056178525	0.030599095	0.23403837	-0.09568898	25600	-7.152557e-09	3840322.0	-0.0010558296	-2836764.8	2.9999793	0.0017845365	0.019804688	79.0	-1456.152	333.2918	301.99313	132.24216079711914
1	-2059.8506	948.40796	-290.85608	-4442.3696	256.0	0.0	256.0	256.0	-2075.8179	64.10745	-1671.6028	-2139.8801	51200	-1.1920929e-08	921517.94	-0.00015432834	-180493.44	3.2660651	0.00066319795	0.0	79.0	-1805.5465	295.89124	297.94653	267.38211846351624
2	-2153.33	1003.1486	-230.07076	-5979.93	256.0	0.0	256.0	256.0	-2077.3909	293.18842	-1737.9705	-2793.92	76800	2.3841857e-09	852354.9	-0.001879363	-28396.938	3.2465417	0.003327015	0.038125	79.0	-1886.4491	343.21378	290.9584	402.5109295845032
3	-1641.7979	917.13837	-281.86362	-4675.2007	256.0	0.0	256.0	256.0	-2057.403	366.60397	-1684.976	-3130.9097	102400	-2.3841857e-09	818789.1	-0.0013945807	-184158.5	2.9729953	0.0016424825	0.019023437	79.0	-1374.923	329.1623	299.17966	529.5548079013824
4	-1702.8403	942.51135	-332.8586	-4954.4165	256.0	0.0	256.0	256.0	-1673.4453	450.45175	-1207.0176	-2916.2495	128000	0.0	726741.6	-0.0018780959	-13442.875	3.113316	0.00198966	0.019257812	79.0	-1462.0103	296.91635	277.50427	659.4221189022064
5	-1527.8577	789.6563	-300.12268	-3768.717	256.0	0.0	256.0	256.0	-1680.4374	372.50095	-1327.3126	-2858.551	153600	-5.9604643e-10	514380.3	-0.0017787785	-27217.312	3.1035273	0.002964415	0.014453125	79.0	-1254.9817	326.82666	326.34894	787.2855396270752
6	-1451.0874	663.5273	-205.12431	-4185.6675	256.0	0.0	256.0	256.0	-1528.5454	337.18234	-1198.8279	-2592.211	179200	7.152557e-09	353084.2	-0.0029100233	-9418.781	3.11847	0.0027282508	0.031796876	79.0	-1183.9305	322.4466	315.87726	915.9074327945709
7	-1379.6151	795.274	-192.88278	-4436.2686	256.0	0.0	256.0	256.0	-1450.3126	310.60547	-1169.91	-2461.2095	204800	1.1920929e-08	502793.75	-0.0021588826	-12555.0625	3.0748844	0.0025741833	0.02640625	79.0	-1064.078	363.91202	345.65515	1046.2074234485626
8	-1029.6611	615.24115	-142.88734	-3627.0996	256.0	0.0	256.0	256.0	-1306.8153	305.2054	-1072.879	-2766.856	230400	0.0	341610.0	-0.0016018867	-78760.875	2.8589776	0.0021041606	0.016914062	79.0	-750.8014	333.0522	320.62863	1173.765389919281
9	-921.64954	468.45065	-163.0004	-2270.9265	256.0	0.0	256.0	256.0	-1015.4236	300.67816	-787.13257	-2500.3123	256000	1.1920929e-09	181147.58	-0.0015627998	-14975.266	2.863808	0.0014528147	0.012578125	79.0	-657.072	327.5414	299.6103	1299.3754880428314
10	-775.9719	414.19516	-175.26903	-2043.4019	256.0	0.0	256.0	256.0	-895.4882	197.87373	-729.6577	-2084.0583	281600	-2.3841857e-09	138308.73	-0.003440336	-15236.172	2.7790356	0.0037689132	0.031054687	79.0	-506.74228	318.45554	305.1455	1428.811578989029
11	-756.24023	381.09296	-147.16925	-2078.8882	256.0	0.0	256.0	256.0	-764.88306	198.25055	-588.35565	-1935.3464	307200	5.9604643e-10	105888.93	-0.0018053728	-621.0078	2.8107672	0.0028038826	0.023242187	79.0	-478.68286	347.84476	317.34656	1553.1889054775238
12	-682.05054	375.78326	-182.42305	-1947.3368	256.0	0.0	256.0	256.0	-747.4772	196.42464	-579.44147	-2061.3416	332800	-4.7683715e-09	103465.94	-0.0017724872	-5304.1406	2.7210505	0.0022958394	0.0184375	79.0	-405.4071	329.75473	327.9879	1676.9774329662323
13	-622.9176	310.3421	-126.27954	-1797.3716	256.0	0.0	256.0	256.0	-674.9817	197.21477	-491.86407	-2044.8878	358400	1.1920929e-09	70283.01	-0.0027665317	-3741.1016	2.6423755	0.0034214885	0.02546875	79.0	-367.00992	306.36365	302.32907	1800.947146654129
14	-586.9693	291.8989	-141.16948	-1371.5668	256.0	0.0	256.0	256.0	-620.3713	166.43964	-447.7789	-1765.7634	384000	3.5762786e-09	62686.88	-0.00282902	-1696.6172	2.57811	0.0033196122	0.02890625	79.0	-305.82083	331.33218	315.0474	1924.0263316631317
15	-531.0051	230.32362	-165.97679	-1246.8322	256.0	0.0	256.0	256.0	-572.94714	139.72513	-425.24	-1484.3505	409600	8.34465e-09	44259.51	-0.0017010779	-2896.1172	2.48674	0.0017544478	0.00984375	79.0	-246.14294	331.8877	329.3997	2046.566112279892
16	-459.7208	233.54521	-122.41621	-1433.8037	256.0	0.0	256.0	256.0	-516.5822	97.1299	-387.58643	-1339.6188	435200	1.9073486e-08	40819.035	-0.0024161984	-4709.461	2.4205854	0.0027643293	0.023984374	79.0	-212.08475	286.59888	282.4182	2169.382295370102
17	-437.8523	206.09277	-112.46536	-1288.0825	256.0	0.0	256.0	256.0	-450.15503	115.025276	-321.91605	-1339.1062	460800	1.1920929e-09	32533.68	-0.002195071	-591.4199	2.397957	0.0024480338	0.017148437	79.0	-212.16383	280.39383	261.02823	2291.578096628189
18	-526.65497	281.8361	-161.1184	-1613.8746	256.0	0.0	256.0	256.0	-462.0614	138.55843	-309.4323	-1509.3663	486400	-1.1920929e-08	60952.555	-0.0023171974	-5143.715	2.49654	0.0033881587	0.016757812	79.0	-242.61789	348.49918	325.18942	2414.369283914566
19	-445.45517	247.48213	-118.98238	-1732.045	256.0	0.0	256.0	256.0	-501.26517	116.02474	-329.1191	-1579.2787	512000	5.9604643e-10	48379.914	-0.0022168201	-3535.8945	2.3689153	0.0028835428	0.023710938	79.0	-180.4951	330.89328	301.5716	2538.657707452774
20	-435.0334	217.7929	-101.26999	-1119.4873	256.0	0.0	256.0	256.0	-457.36786	134.9594	-307.23904	-1452.2568	537600	2.3841857e-09	34692.613	-0.0017434811	-1280.6836	2.3269129	0.0029429998	0.024023438	79.0	-161.086	326.42603	306.18307	2664.0307416915894
21	-402.79678	232.19862	-104.022415	-1541.8159	256.0	0.0	256.0	256.0	-420.77246	105.445915	-266.49982	-1405.1946	563200	2.9802322e-10	39782.637	-0.0020149855	-779.35547	2.2966993	0.0018785789	0.015	79.0	-147.3614	308.25394	284.7969	2785.9583144187927
22	-433.17142	201.35649	-111.08597	-1519.1427	256.0	0.0	256.0	256.0	-406.5818	120.13595	-263.26694	-1450.7107	588800	-4.7683715e-09	35541.8	-0.0015793061	-2158.1875	2.2776136	0.0014958499	0.011484375	79.0	-153.02745	337.01743	312.12515	2908.401615858078
23	-428.849	214.08054	-135.09909	-1470.0802	256.0	0.0	256.0	256.0	-433.07803	85.33211	-275.90833	-1293.9225	614400	0.0	34815.727	-0.001596694	-608.4219	2.3014185	0.002503645	0.016132813	79.0	-164.56213	308.89487	309.23816	3031.7750358581543
24	-454.02444	259.8417	-119.3246	-1587.605	256.0	0.0	256.0	256.0	-441.3358	132.06367	-289.32574	-1549.7709	640000	3.5762786e-09	49023.09	-0.0016051698	-456.8711	2.3441133	0.002461701	0.01375	79.0	-182.62314	327.29446	323.4338	3156.077944755554
25	-423.48895	227.24179	-97.36873	-1690.3739	256.0	0.0	256.0	256.0	-440.6115	114.26787	-281.014	-1502.5103	665600	5.9604646e-09	39125.766	-0.0016739189	-402.8672	2.3588998	0.0016514584	0.015625	79.0	-168.43185	319.4727	292.78784	3278.7617905139923
26	-398.9513	189.16826	-141.47157	-1004.76807	256.0	0.0	256.0	256.0	-413.77957	95.72067	-255.62033	-1323.9865	691200	-5.3644182e-09	28906.242	-0.0020936823	-459.41016	2.2366965	0.0024752286	0.01171875	79.0	-133.92685	308.9456	315.77066	3399.1352643966675
27	-395.46243	218.4841	-95.1017	-1276.7246	256.0	0.0	256.0	256.0	-400.1906	92.339676	-275.90735	-1261.6704	716800	2.3841857e-09	34890.37	-0.0020646893	-967.16797	2.2909737	0.0034966907	0.021757813	79.0	-146.26616	296.4726	304.73734	3520.626183271408
